,VDOT,1K,1M,3K,5K,8K,10K,10M,Half,Full
0,30.0,05:26,09:10,17:55,30:40,50:21,1:03:48,1:46:00,2:21:17,4:49:48
1,30.1,05:25,09:09,17:52,30:36,50:12,1:03:38,1:45:42,2:20:54,4:49:03
2,30.2,05:24,09:07,17:49,30:30,50:04,1:03:27,1:45:25,2:20:30,4:48:17
3,30.3,05:23,09:05,17:46,30:25,49:55,1:03:16,1:45:07,2:20:07,4:47:31
4,30.4,05:22,09:04,17:43,30:21,49:47,1:03:06,1:44:50,2:19:45,4:46:46
5,30.5,05:21,09:02,17:41,30:15,49:38,1:02:56,1:44:32,2:19:22,4:46:01
6,30.6,05:20,09:01,17:38,30:10,49:31,1:02:45,1:44:15,2:18:59,4:45:17
7,30.7,05:19,08:59,17:35,30:06,49:22,1:02:35,1:43:58,2:18:36,4:44:33
8,30.8,05:18,08:57,17:32,30:01,49:15,1:02:25,1:43:42,2:18:14,4:43:48
9,30.9,05:17,08:56,17:29,29:56,49:07,1:02:15,1:43:25,2:17:52,4:43:04
10,31.0,05:16,08:54,17:26,29:51,48:58,1:02:04,1:43:08,2:17:30,4:42:21
11,31.1,05:16,08:53,17:23,29:46,48:51,1:01:54,1:42:51,2:17:07,4:41:37
12,31.2,05:15,08:51,17:21,29:41,48:43,1:01:45,1:42:34,2:16:46,4:40:54
13,31.3,05:14,08:50,17:18,29:37,48:35,1:01:34,1:42:17,2:16:24,4:40:11
14,31.4,05:13,08:48,17:15,29:32,48:27,1:01:24,1:42:01,2:16:02,4:39:28
15,31.5,05:12,08:47,17:12,29:27,48:19,1:01:15,1:41:45,2:15:40,4:38:46
16,31.6,05:11,08:46,17:10,29:22,48:12,1:01:05,1:41:29,2:15:19,4:38:04
17,31.7,05:10,08:44,17:07,29:18,48:04,1:00:55,1:41:13,2:14:58,4:37:21
18,31.8,05:10,08:43,17:04,29:13,47:57,1:00:45,1:40:57,2:14:37,4:36:40
19,31.9,05:09,08:41,17:01,29:08,47:49,1:00:36,1:40:40,2:14:15,4:35:58
20,32.0,05:08,08:40,16:58,29:04,47:41,1:00:26,1:40:25,2:13:54,4:35:16
21,32.1,05:07,08:39,16:56,29:00,47:34,1:00:16,1:40:09,2:13:34,4:34:35
22,32.2,05:06,08:37,16:53,28:55,47:27,1:00:07,1:39:53,2:13:13,4:33:54
